日期,最高温度,最低温度,天气,风向,result
2011-06-01,35℃,25℃,晴~多云,无持续风向 微风,0
2011-06-02,35℃,28℃,晴~多云,无持续风向 微风,0
2011-06-03,34℃,27℃,多云,无持续风向 微风,0
2011-06-04,34℃,27℃,阵雨~多云,无持续风向 微风,1
2011-06-05,34℃,28℃,雷阵雨~多云,无持续风向 微风,1
2011-06-06,35℃,28℃,阵雨~多云,无持续风向 微风,1
2011-06-07,34℃,28℃,雷阵雨~多云,无持续风向 微风,1
2011-06-08,35℃,28℃,阵雨~多云,无持续风向 微风,1
2011-06-09,35℃,28℃,雷阵雨~多云,无持续风向 微风,1
2011-06-10,35℃,28℃,阵雨~多云,无持续风向 微风,1
2011-06-11,35℃,28℃,雷阵雨~多云,无持续风向 微风,1
2011-06-12,32℃,25℃,阵雨,无持续风向 微风,1
2011-06-13,34℃,27℃,雷阵雨~阵雨,无持续风向 微风,1
2011-06-14,35℃,28℃,雷阵雨~多云,无持续风向 微风,1
2011-06-15,35℃,28℃,雷阵雨~多云,无持续风向 微风,1
2011-06-16,32℃,26℃,中到大雨~暴雨,无持续风向 微风,1
2011-06-17,32℃,27℃,中雨~阵雨,无持续风向 微风,1
2011-06-18,33℃,27℃,阵雨~多云,无持续风向 微风,1
2011-06-19,34℃,27℃,阵雨~多云,无持续风向 微风,1
2011-06-20,35℃,28℃,多云,无持续风向 微风,0
2011-06-21,36℃,28℃,多云~阵雨,无持续风向 微风,1
2011-06-22,32℃,26℃,阵雨~中到大雨,无持续风向 微风,1
2011-06-23,30℃,26℃,中雨~阵雨,东南风 3-4级,1
2011-06-24,34℃,27℃,阵雨~多云,无持续风向 微风,1
2011-06-25,35℃,27℃,多云~阵雨,无持续风向 微风,1
2011-06-26,32℃,26℃,中雨~阵雨,无持续风向 微风,1
2011-06-27,34℃,27℃,雷阵雨~多云,无持续风向 微风,1
2011-06-28,33℃,27℃,小到中雨,无持续风向 微风,1
2011-06-29,29℃,25℃,暴雨,无持续风向 微风,1
2011-06-30,30℃,25℃,中到大雨~阵雨,无持续风向 微风,1
2012-06-01,31℃,25℃,阵雨转多云,微风 小于3级,1
2012-06-02,33℃,27℃,多云,微风 小于3级,0
2012-06-03,32℃,26℃,多云,微风 小于3级,0
2012-06-04,33℃,26℃,多云,微风 小于3级,0
2012-06-05,33℃,27℃,多云,微风 小于3级,0
2012-06-06,34℃,27℃,多云,微风 小于3级,0
2012-06-07,35℃,27℃,多云,微风 小于3级,0
2012-06-08,35℃,28℃,多云,微风 小于3级,0
